ID,Year,PP (Y), TC (X1) ,II (X2),ATB (X3),ML (Z)
17,2019,-0.011117,0.020255,0.139634,0.054227,0.062632
17,2020,0.021611,0.040036,0.146802,0.052843,-0.010303
17,2021,0.065583,0.052798,0.138358,0.053618,0.025522
18,2017,-0.016395,0.010300,0.077092,0.026779,-0.094188
18,2018,-0.018018,0.008477,0.095751,0.022645,-0.052834
18,2019,-0.000603,0.007783,0.067132,0.018721,-0.054403
18,2020,0.015967,0.031851,0.179861,0.015789,-0.045067
18,2021,0.004335,0.010350,0.138928,0.014388,-0.052240
19,2017,0.017526,0.525407,0.159419,0.003338,-0.066462
19,2018,0.203988,0.507060,0.140799,0.002218,-0.014653
19,2019,-0.003467,0.410715,0.083144,0.000915,-0.038161
19,2020,-0.063935,0.375410,0.085374,0.000004,0.011978
19,2021,-0.077102,0.379147,0.143318,0.176566,0.008102
20,2017,-0.047115,0.083468,0.160750,0.011700,-0.057797
20,2018,0.137947,0.114543,0.134409,0.018218,0.019057
20,2019,0.074306,0.117964,0.138608,0.014564,-0.015663
20,2020,-0.150237,0.109535,0.145740,0.009127,-0.115552
20,2021,-0.439807,0.092542,0.146976,0.007783,-0.100786
21,2017,0.065866,0.066349,0.153731,0.000392,-0.020433
21,2018,0.063249,0.072087,0.170202,0.000255,-0.078628
21,2019,0.037338,0.044327,0.147520,0.001251,-0.033343
21,2020,0.036255,0.064682,0.151951,0.002077,-0.074667
21,2021,0.054669,0.028060,0.156443,0.004633,0.062172
22,2017,0.117629,0.002083,0.021908,0.013100,0.001408
22,2018,0.058498,0.001324,0.038467,0.012718,0.064592
22,2019,0.007923,0.000803,0.495560,0.012483,0.073309
22,2020,0.012093,0.000394,0.022573,0.011913,0.013174
22,2021,0.049954,0.000255,0.158428,0.012589,0.041090
23,2017,-0.055795,0.088953,0.196664,0.000000,0.023015
23,2018,0.038664,0.153591,0.217817,0.000000,0.064794
23,2019,0.025756,0.214555,0.206105,0.000000,0.025429
23,2020,-0.383617,0.325866,0.169373,0.004258,0.082874
23,2021,0.067488,0.097401,0.172195,0.003728,0.086357
24,2017,-0.085372,0.105777,0.113127,0.140479,-0.015672
24,2018,-0.160637,0.207850,0.104406,0.147888,-0.058662
24,2019,0.152617,0.833983,0.126695,0.132537,0.007576
24,2020,-0.121084,0.262586,0.153656,0.123449,-0.032123
24,2021,0.140754,0.144583,0.175235,0.113546,0.090159
25,2017,-0.054430,0.074096,0.165759,0.000000,0.065806
25,2018,0.020304,0.109384,0.126471,0.000000,-0.007479
25,2019,-0.103041,0.085084,0.122315,0.000000,0.004696
25,2020,-0.078664,0.063955,0.117109,0.000000,-0.047121
25,2021,-0.025892,0.025595,0.176897,0.000000,0.076875
26,2017,-0.020366,0.005798,0.137143,0.001930,-0.055475
26,2018,0.047520,0.000418,0.156352,0.001643,0.042562
26,2019,0.022235,0.000074,0.154482,0.011549,-0.010391
26,2020,-0.008006,0.005354,0.145348,0.000000,-0.055440
26,2021,0.017917,0.005314,0.179703,0.000000,0.044596
27,2017,-0.060067,0.033323,0.147178,0.012131,-0.016848
27,2018,0.020698,0.029044,0.162962,0.010789,0.002653
27,2019,-0.056067,0.044788,0.155220,0.010654,0.031281
27,2020,-0.411489,0.064851,0.149707,0.013274,-0.051259
27,2021,-0.650242,0.057129,0.194671,0.013179,0.044783
28,2017,0.034278,0.011356,0.190216,0.000000,0.039069
28,2018,0.036527,0.005884,0.244317,0.033466,0.088231
28,2019,0.060299,0.014716,0.222515,0.000000,0.124141
28,2020,-0.015572,0.008674,0.173586,0.000000,-0.028487
28,2021,0.024152,0.003298,0.198323,0.000000,0.074365
29,2017,0.199735,0.000425,0.146997,0.002818,0.072656
29,2018,0.172661,0.009010,0.179995,0.001142,0.136921
29,2019,0.217817,0.023258,0.180803,0.000000,0.024428
29,2020,0.197492,0.009783,0.179105,0.000000,0.020547
29,2021,0.190659,0.003589,0.204908,0.000000,0.097457
30,2017,-0.071010,0.045905,0.190284,0.030889,0.007546
30,2018,-0.090237,0.074298,0.223418,0.024900,0.081637
30,2019,-0.379383,0.174262,0.210324,0.021671,0.060937
30,2020,-0.478878,0.076222,0.215146,0.000000,0.036069
30,2021,0.119321,0.040092,0.206009,0.000000,-0.032032
31,2017,-0.012681,0.016970,0.295313,0.011926,0.171640
31,2018,-0.004279,0.018765,0.323739,0.007302,0.042126
31,2019,-0.011759,0.022698,0.304386,0.003776,0.009272
31,2020,-0.007644,0.025831,0.302731,0.001918,-0.133924
