ID	Year	PP(Y)	TC(X1)	II(X2)	ATB(X3)	ML(Z)
40	2018	0,044541508	0,001036156	0,150298318	0,025089244	0,035987159
40	2019	0,051711267	0,002909543	0,148353522	0,046803495	0,039718832
40	2020	0,055142685	0,004319551	0,141490195	0,068754989	0,03319174
40	2021	0,037752549	-0,00174424	0,150907633	0,087157296	0,037584182
41	2017	0,041528739	0,000166394	0,134907601	0,086543649	0,030064757
41	2018	0,039244096	0,004338549	0,115779168	0,086267055	0,030555016
41	2019	0,015161959	0,007991775	0,105860338	0,085959721	0,035689061
41	2020	0,016537457	0,008942846	0,101747716	0,085761092	0,050239084
41	2021	0,016815574	0,009715481	0,110261955	0,085423844	0,038910378
42	2017	0,011993213	0,010336631	0,10494298	0,063237348	0,038001687
42	2018	0,001210119	0,010728176	0,106023196	0,041523097	0,032245231
42	2019	-0,001182709	0,010926959	0,110342714	0,019571604	0,043271231
42	2020	-0,007150174	0,012720814	0,109509058	9,25186E-18	0,044462562
42	2021	-0,001422017	0,017477248	0,130758429	9,25186E-18	0,048819054
43	2017	0,005101048	0,013261005	0,146311323	0,000170461	0,06921382
43	2018	0,007424329	0,01010791	0,157938878	0,000338791	0,07241565
43	2019	0,010707022	0,00588793	0,163467143	0,000487074	0,071478677
43	2020	0,011803382	0,003216165	0,156431048	0,000633024	0,061863877
43	2021	0,011092243	0,001202095	0,158023746	0,000633024	0,053190309
44	2017	0,020064553	-0,0006564	0,156666817	0,002240082	0,051298402
44	2018	0,015099631	-0,002766838	0,155924319	0,003851747	0,049157169
44	2019	0,014233982	-0,006431134	0,155186516	0,005450768	0,035290814
44	2020	0,007751511	-0,00393343	0,146194622	0,00680015	0,037275428
44	2021	0,002979583	0,006282273	0,145977228	0,007774528	0,033167202
